EXP;GIRL;AGE;TIREDNESS;SLEEP;HEIGHT;WEIGHT;DEP1;DEP2;DEP3;DEP4;IG;IGPHOTOS1;IGPHOTOS2;INTER1;INTER2;INTER3;INTER4;INTER5;APP1;APP2;APP3;APP4;APP5;APP6;APP7;APP8;APP9;APP10;SELF1;SELF2;SELF3;SELF4;SELF5;SCHEM1;SCHEM2;SCHEM3;SCHEM4;SCHEM5;SCHEM6;SCHEM7;SCHEM8;SCHEM9;SHCEM10;MEMORY1;MEMORY2;BD1;BD2;BD3;BD4;BD5;BD6;BD7;BD8;BD9;ATT1;ATT2;COM1;COM2;BMI
0;1;13;5;3;163;48;5;5;4;5;3;3;2;4;5;2;4;4;1;1;2;1;2;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;4;3;5;5;4;2;4;2;3;1;3;3;18,066167337875
0;1;14;3;3;155;55;3;4;3;4;5;2;5;1;1;1;1;2;1;1;4;1;2;2;1;1;1;1;2;2;2;2;3;2;4;3;2;4;4;2;3;3;4;2;2;4;4;4;4;5;4;4;4;4;4;1;4;2;22,8928199791883
1;0;14;2;3;177;70;1;1;1;1;5;2;5;3;3;3;3;3;3;1;1;3;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;5;1;2;1;2;2;2;3;4;22,343515592582
1;1;18;3;4;162;58;3;3;2;2;5;2;5;1;1;1;1;1;4;3;4;2;3;2;2;3;3;4;2;2;3;4;3;4;5;4;5;5;3;4;5;5;2;2;2;2;2;4;2;4;1;2;1;1;3;1;3;4;22,1002895900015
1;0;15;3;1;170;50;1;1;3;1;1;1;1;1;1;1;1;1;2;1;2;2;2;3;1;2;99;99;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;1;1;4;5;5;1;5;1;5;1;1;1;1;17,3010380622837
0;1;14;3;4;164;44;4;2;4;3;4;2;4;3;5;5;5;2;3;3;5;3;3;4;4;2;3;4;2;2;2;3;3;1;1;1;1;1;1;1;1;1;1;2;2;1;1;5;5;5;1;5;1;5;1;1;1;1;16,3593099345628
1;1;17;2;1;180;60;1;1;1;1;3;4;2;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;2;2;1;1;5;5;5;1;5;1;5;2;2;2;2;18,5185185185185
0;0;15;2;2;172;70;2;1;2;2;5;3;5;1;2;2;1;1;1;3;2;2;2;1;1;1;2;2;4;3;4;4;4;2;2;2;2;3;3;3;3;2;3;2;2;3;3;4;4;4;3;4;2;5;2;2;3;1;23,6614386154678
1;1;15;3;3;166;69;3;1;3;3;5;2;5;5;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;2;1;99;1;99;3;1;3;3;2;2;3;3;2;3;3;2;3;2;99;2;1;3;3;25,0399187109885
0;1;17;3;3;160;59;4;4;4;4;5;1;4;3;3;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;1;5;3;4;4;2;2;99;4;2;2;5;5;5;5;5;1;5;5;4;4;1;2;4;23,046875
0;1;17;3;3;170;63;2;1;2;2;5;3;3;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;2;2;2;2;4;3;2;2;3;2;3;2;2;2;2;21,7993079584775
0;1;17;4;4;155;55;4;4;4;4;3;2;3;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;4;3;4;4;3;3;2;2;1;1;2;2;2;4;2;4;2;4;3;3;3;22,8928199791883
0;1;17;5;5;159;84;5;5;5;5;5;2;5;2;4;4;4;2;1;1;2;1;2;1;1;1;1;2;1;1;2;2;2;1;3;4;2;2;3;2;2;3;2;2;2;3;5;5;4;4;3;4;2;4;2;1;2;4;33,2265337605316
1;0;14;3;2;186;101;2;1;3;4;5;1;5;5;5;5;5;5;5;2;3;3;1;5;3;5;2;1;3;3;2;4;4;1;1;1;2;2;2;2;2;3;4;2;2;4;4;3;4;3;3;4;4;2;1;2;4;3;29,1941264886114
0;0;18;3;2;180;62;5;1;5;5;5;2;4;5;5;1;5;4;5;5;5;4;4;5;5;5;5;4;4;3;3;4;4;1;2;1;2;1;1;1;1;4;1;2;2;1;1;2;1;3;1;2;1;1;4;1;3;4;19,1358024691358
1;1;14;4;3;178;69;5;5;3;4;5;3;5;4;5;5;5;4;3;2;3;3;1;1;2;4;2;1;1;1;1;4;4;1;2;1;3;3;2;2;1;1;4;2;2;1;4;5;2;5;1;5;3;3;1;1;1;4;21,7775533392248
1;1;17;5;5;160;54;5;4;5;5;4;2;3;2;2;1;1;1;3;4;4;2;2;3;3;1;2;2;3;2;1;2;2;1;2;5;3;4;5;5;5;3;4;2;2;3;5;4;99;4;4;3;4;3;4;2;4;2;21,09375
1;0;15;3;1;182;70;3;2;3;2;1;1;1;1;1;1;1;1;3;4;5;3;3;2;3;4;4;3;4;4;4;3;3;3;3;4;4;5;3;3;4;3;4;2;2;2;3;4;4;5;3;3;3;3;2;2;1;1;21,1327134404057
1;0;17;3;2;175;67;1;1;1;1;4;3;4;5;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;2;2;1;1;5;5;5;1;5;1;5;1;3;2;1;21,8775510204082
0;0;13;4;3;177;64;4;4;3;2;5;2;5;5;4;2;3;1;4;4;4;4;4;5;4;3;5;5;4;4;4;2;4;5;4;5;5;5;4;5;5;5;5;2;2;2;2;2;2;2;4;2;2;4;2;3;3;4;20,4283571132178
1;0;14;4;3;165;75;3;4;3;4;1;1;1;1;2;2;1;1;3;3;3;3;2;3;3;2;3;2;2;2;2;2;2;4;2;4;3;5;3;4;3;4;4;2;2;2;3;4;2;4;3;4;2;3;2;1;2;3;27,5482093663912
0;0;13;2;1;140;39;1;1;1;1;1;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;3;3;2;3;2;4;4;4;4;4;4;4;4;4;4;2;2;4;2;2;5;3;3;3;4;3;2;2;2;2;19,8979591836735
1;1;18;4;3;150;80;3;3;3;3;5;3;5;4;4;4;4;4;1;1;2;1;1;1;2;2;1;1;3;2;3;3;2;2;2;2;4;3;4;2;2;2;4;2;2;5;5;4;4;5;5;4;5;4;2;1;3;4;35,5555555555556
1;1;14;2;3;159;54;2;1;2;3;1;1;1;1;2;1;1;1;5;5;5;5;5;5;5;99;5;5;4;4;3;3;4;4;3;3;4;4;3;4;4;3;4;1;1;1;1;1;1;1;1;1;1;1;3;2;2;3;21,3599145603418
1;0;15;1;2;182;95;1;1;2;1;5;2;4;4;4;3;4;3;5;5;4;5;5;5;3;5;4;3;4;4;4;4;4;4;5;5;5;3;5;5;5;5;5;2;2;2;2;3;1;1;3;1;3;3;2;3;3;4;28,6801110976935
1;0;16;3;3;170;60;3;2;4;4;2;1;3;1;1;1;1;1;3;3;4;4;5;5;4;4;5;5;3;2;4;3;3;4;3;3;4;5;5;4;3;2;2;2;2;1;1;1;3;2;1;2;3;1;3;3;4;3;20,7612456747405
0;1;14;3;4;165;46;2;1;1;2;1;1;4;1;1;1;1;1;3;5;5;5;3;5;5;3;5;3;2;3;2;2;2;4;2;2;5;5;5;5;1;1;5;2;2;1;1;1;1;3;1;1;1;1;3;1;4;4;16,8962350780533
0;0;15;3;3;170;69;3;3;3;3;5;5;5;5;5;5;5;5;2;2;3;3;5;2;2;2;3;2;3;3;3;2;4;5;5;5;5;5;5;5;5;5;5;2;2;5;2;4;3;3;3;3;3;2;4;1;4;4;23,8754325259516
0;1;15;5;4;173;96;5;5;4;3;2;2;2;5;5;5;5;5;1;1;2;2;1;1;1;1;2;1;1;1;2;2;1;3;5;4;4;3;4;4;4;5;4;2;2;5;5;5;4;5;5;5;5;5;3;1;3;3;32,075912994086
0;1;17;3;5;163;52;5;5;4;4;5;2;4;5;5;5;5;4;2;1;2;1;1;1;2;2;1;3;2;2;4;1;4;5;5;5;5;5;5;5;5;5;99;2;2;5;5;5;4;3;4;5;1;4;3;1;3;4;19,5716812826979
0;0;15;1;3;170;56;2;1;2;1;2;2;3;1;1;1;1;1;3;4;3;3;2;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;2;2;1;1;5;5;5;1;5;1;5;1;2;1;4;19,3771626297578
0;0;14;2;1;175;69;1;1;1;3;3;2;3;5;4;4;4;5;5;5;5;5;4;5;5;4;5;5;4;4;4;4;4;4;4;4;4;3;5;4;4;3;3;2;2;4;3;2;3;2;3;3;3;3;2;2;3;2;22,530612244898
